GEOID,geoName,geoRegion,geoLON,geoLAT,ISO3,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020
126,Aruba,NORTH AMERICA,-69.977,12.517,ABW,100,100,100,100,200,66,0,0,0,0,0,0,0,0,0,66,22,0,0,-22,22,0,0,33,0,0,0,0,0,-33,0,18,-18,0,-22,0,0,-66,0,0,0,40,0,0,-40,-66,0,0,0,0,0,0,0,0,0,-200,100,100,100,100,100,100,100,100,200,0,0,0,0,0,0,0,0,0,66,0,0,0,-66,0,0,0,0,0,0,0,0,0,-200,100,100,100,100,100,100,100,100,100,100,100,100,200,0,0,0,66,0,0,0,0,0,0,0,40,0,-40,0,0,2
70,Grenada,NORTH AMERICA,-61.65,12.163,GRD,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,66,0,0,0,0,0,0,0,0,0,0,0,40,-40,-66,0,0,0,0,0,66,66,22,0,0,0,-22,0,0,0,0,0,0,0,-28,-100,-200,100,100,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,100,100,100,100,100,100,100,100,100,100,100,100,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
15020,Brookhaven, MS,-90.45,31.53,USA,100,200,66,40,0,15,13,11,10,9,16,7,6,0,12,-6,6,-6,11,0,0,0,15,0,4,-4,-4,0,-5,14,-9,0,9,-4,-4,-5,-17,-6,-14,14,6,0,-6,-30,0,-9,-50,15,0,13,0,22,0,-22,-13,25,10,18,8,0,0,0,14,0,0,-6,-7,0,0,0,0,0,-8,0,8,0,-8,0,15,0,0,0,0,-7,0,0,-8,0,-8,-9,9,-9,-10,-11,0,11,0,0,-11,-28,0,28,11,10,0,0,-22,11,10,0,0,0,26,0,0,-16,-9,0,8
182,Slovenia,EURPOE,14.827,46.124,SVN,100,200,40,0,0,28,22,18,40,0,0,0,0,0,0,-25,13,22,26,-8,0,0,-8,8,0,0,15,6,18,0,-11,-13,-15,0,-8,-9,-22,11,0,0,-25,-15,-18,18,0,0,-18,18,0,15,0,-33,0,18,0,15,-33,-22,0,0,0,-28,28,-28,50,18,15,0,13,-13,13,0,0,0,0,0,0,0,-28,-18,0,-22,-28,28,0,22,33,0,13,0,0,0,0,11,0,10,9,-9,0,9,-20,0,-11,0,-13,0,13,11,-11,0,-13,0,0,-15,15,13,0,0,8
21220,Elko, NV,-115.53,40.92,USA,100,200,100,28,40,28,31,16,26,5,5,0,14,0,4,12,7,0,0,10,0,9,0,8,10,2,-2,11,6,9,8,0,3,-8,-1,-3,-5,-6,-11,0,-2,-13,-8,-31,-34,0,-12,28,-10,-5,-6,0,6,5,-5,0,0,0,-6,6,11,-30,0,13,6,5,0,0,15,4,0,12,-4,-4,-9,0,13,-13,4,0,-4,0,0,-4,-5,0,5,0,-10,10,-16,0,-6,0,11,-11,-20,0,7,-7,32,0,10,-10,0,0,10,-10,0,5,14,8,0,-4,-24,20,4,8,27
204,Uganda,AFRICA,32.386,1.28,UGA,100,100,100,100,100,100,200,40,28,0,22,0,33,0,0,35,0,26,0,7,-15,-8,8,15,-7,14,-6,6,12,-12,0,-22,15,13,6,0,0,0,11,-5,10,-5,-11,-6,0,0,-13,-24,8,8,-16,-20,-11,31,-31,11,0,10,9,0,8,0,-8,-9,0,18,-8,-31,11,-11,0,-13,-15,28,-13,0,-15,0,0,-18,18,0,-18,33,25,36,7,-15,8,7,0,13,6,-6,-6,-6,0,-15,-18,-35,0,0,-15,-18,33,-33,0,0,33,13,0,0,22,0,0,9,16,7,12
48780,Williston, ND,-103.48,48.34,USA,100,200,66,58,24,0,13,6,16,0,9,4,8,0,3,0,-3,-8,-4,24,0,3,-3,0,0,13,6,2,0,0,0,-9,0,-16,0,-3,-3,11,0,-19,-19,-5,0,-11,-6,6,-6,0,-6,6,0,-22,-8,0,16,0,14,-6,6,-6,6,6,-6,0,-6,6,6,6,-6,0,-13,6,-6,0,0,-15,0,-18,0,0,-22,0,0,11,-11,-13,-15,28,-13,13,11,20,0,-9,18,0,0,-8,16,14,0,-6,-7,7,0,-7,0,14,6,-6,6,0,-13,-7,7,-7,0,-16,10
11380,Andrews, TX,-102.64,32.31,USA,200,66,40,90,11,10,9,24,25,15,4,0,8,0,18,15,5,-11,0,0,3,-3,-9,-7,-3,3,3,10,-17,-16,-9,14,0,4,4,-8,0,0,8,0,-12,-14,0,0,-5,-18,0,-14,-26,18,0,8,0,0,0,0,0,-8,15,-7,14,12,0,-6,6,-12,-14,0,0,0,7,0,-7,7,-7,0,0,14,-6,0,13,0,17,5,4,-4,9,0,-9,-5,5,-10,-5,0,11,5,-16,11,-5,5,-17,0,11,10,0,0,4,0,-10,-5,5,-11,0,0,16,4,-4,-5,20
37420,Pampa, TX,-100.81,35.4,USA,100,100,100,200,0,66,0,0,40,28,0,0,40,0,15,13,11,0,10,0,9,8,-8,8,0,8,-16,0,0,-9,-10,-11,-13,-15,-18,-22,0,-66,40,0,0,0,-40,0,0,0,0,0,85,0,0,0,-22,-28,0,0,0,50,0,0,0,0,-50,50,0,18,15,0,13,0,11,-25,0,25,0,0,10,-22,22,-10,0,10,0,0,0,0,0,-22,0,11,-25,0,-15,0,-18,-22,-28,0,-40,40,0,50,18,0,15,13,-13,0,25,0,0,10,9,0,8,-18,-10,0,8
61,Fiji,AUSTRALIA,160.792,-17.464,FJI,100,100,100,100,200,66,0,100,28,11,0,10,18,0,0,0,8,0,0,0,0,-26,-10,10,0,0,-22,0,0,0,-13,13,0,11,0,20,-9,-22,11,-11,0,0,0,0,0,-13,-15,-18,0,-85,40,0,-40,40,0,28,0,22,0,0,0,-22,22,0,-22,22,18,-18,0,-22,0,-28,0,28,0,22,-22,0,0,-28,-40,0,0,0,0,0,0,-66,0,-200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,0,0,0,0,0,0,0,0,0,1
