,Unnamed: 0,GEOID,geoName,geoRegion,geoLON,geoLAT,ISO3,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020
276,276,42980,Seymour, IN,-86.04,38.91,USA,1,40,50,0,0,0,-85,66,0,22,-22,-120,100,28,-120,0,66,-66,100,28,-120,155,-28,0,-100,66,0,-66,100,-66,0,0,100,-57,-133,100,-40,0,0,-66,0,66,0,0,0,0,-66,0,-200,0,200,-66,0,0,-200,200,100,-200,200,-66,0,100,-100,0,-200,200,66,-200,200,0,40,-100,100,-200,0,200,0,66,-66,133,-133,66,-66,-200,200,-66,0,0,-66,120,-28,-100,0,-200,0,200,66,0,0,-66,-200,200,66,-200,200,-66,0,66,-200,200,40,0,-100,-200,200,66,-142,66,-66
277,277,30940,London, KY,-84.05,36.92,USA,1,142,0,-66,0,28,0,54,-33,33,-33,-85,66,-66,85,57,-76,76,20,-58,28,40,-52,44,-93,0,66,-155,163,-50,-40,76,-127,142,-82,0,18,15,-80,0,-100,0,142,0,50,-66,-85,0,111,-54,-28,-40,40,-100,66,66,66,-90,-100,66,0,0,40,66,-100,-200,200,-120,66,-66,-200,200,66,40,28,-28,-100,100,-40,66,22,0,-85,0,40,0,100,-100,0,0,28,-120,133,46,-120,66,0,40,-40,22,33,-33,-85,100,-18,33,-80,28,40,-66,0,50,-50,66,-66,66,-40,54,-80
278,278,12020,Athens-Clarke County, GA,-83.21,33.95,USA,1,31,48,28,-74,62,4,-37,63,-46,40,-63,35,-50,85,37,-9,-35,-24,-4,-21,0,38,-70,45,5,-22,35,-9,21,7,-3,-7,-50,-50,28,8,-47,60,-22,8,-8,34,-19,-43,-25,66,-129,100,43,-43,0,-40,15,-15,-40,40,40,20,-31,47,-26,-35,25,43,-94,33,35,-66,33,-33,46,-28,0,-18,57,0,-40,28,54,-24,-44,25,-11,22,9,8,15,-7,37,-104,50,9,48,-25,0,-111,85,0,-10,0,0,0,-40,40,28,-8,0,8,0,28,-78,60,37,-17,-120,76,56,-120
279,279,93,"Korea, Democratic People's Republic of",ASIA,127.181,40.143,PRK,1,114,66,-20,-18,6,0,22,-28,6,35,-70,74,-18,-10,-25,-7,-88,46,0,-13,44,-114,50,18,-100,0,-66,100,50,-200,0,0,200,-100,-40,40,0,-200,200,-200,200,-200,200,-200,200,-66,100,-100,120,22,-133,0,66,0,0,-200,200,-200,0,0,200,120,22,-200,200,66,-200,200,-200,0,200,-100,100,0,-200,200,0,-200,0,200,-200,200,-200,200,66,-66,0,-200,200,-120,0,100,-100,0,0,-200,200,40,-40,-66,133,-22,-120,0,0,66,40,0,50,-133,133,-85,100,-100,0,-200,200,-120
280,280,32420,Mayag?ez, PR,-67.3,18.17,USA,1,-23,-23,53,57,-2,-30,-26,7,-28,52,2,0,-2,17,-52,-50,72,40,6,-24,14,-59,-22,75,-41,31,-22,19,-55,-25,-42,-93,76,20,-75,-22,-28,100,-100,80,35,-66,-22,54,25,-57,18,-66,28,66,-120,85,0,0,-50,28,-66,100,-40,40,-18,46,-90,0,28,0,-28,50,-22,76,-127,66,76,-25,-54,-28,66,0,0,-40,66,-90,107,18,-82,57,-76,76,-40,-40,111,-66,44,0,-31,11,-76,54,35,9,-44,-33,18,-18,33,0,-15,-40,111,-80,40,10,-133,111,25,-25,-54,0
281,281,23500,Gaffney, SC,-81.62,35.05,USA,1,100,0,0,0,28,-28,50,0,-85,0,66,40,-40,40,-66,90,-46,-22,40,-66,50,18,-100,0,0,40,28,-120,133,-85,-66,160,-160,66,40,50,-133,0,100,-100,120,40,-66,0,-200,200,28,0,-66,40,-100,100,-100,142,-66,-100,-200,200,0,66,-200,200,85,0,-85,66,-120,0,100,-100,0,0,66,0,0,-200,200,-200,200,0,-66,100,28,-66,-66,0,150,-54,-66,66,-28,28,0,-66,40,-200,200,0,100,-40,0,0,-120,66,0,40,-100,100,100,-100,90,-28,-40,40,0,0,-18,-200
282,282,25420,Harrisburg-Carlisle, PA,-77.1,40.33,USA,1,18,32,-32,24,-4,-44,13,51,-45,69,-25,28,-36,24,35,-14,-80,55,-30,68,-36,17,-8,-56,34,-3,-16,34,-10,-48,41,-31,-30,-24,-20,43,19,-19,6,-50,10,0,18,-40,54,-43,28,15,-15,-8,-20,-11,47,-60,-15,40,0,28,-40,0,40,-18,0,-22,11,61,-109,57,50,-60,60,-85,40,-11,60,-22,-28,43,0,-43,10,40,-60,-13,66,-33,0,33,19,-61,50,-50,36,-26,71,-100,83,-12,-40,40,-14,7,-15,22,-14,-16,30,-22,0,28,-90,95,11,-17,-28,22,-60,40
283,283,42780,Selinsgrove, PA,-77.07,40.77,USA,1,120,-66,-66,100,-40,40,0,-40,0,0,40,-100,0,66,111,-111,66,-66,-200,0,200,66,40,0,0,0,-40,40,-40,-200,0,200,0,-200,200,0,66,-120,66,-66,66,-200,200,-200,200,-200,0,200,-200,200,-66,-200,200,66,-200,200,0,-200,200,-200,200,-200,200,-40,-200,0,0,200,-66,-200,0,200,66,-200,200,0,0,-200,200,-200,0,200,0,66,-66,-200,0,200,-200,200,0,100,-100,-200,0,0,200,66,-200,200,0,-66,0,0,-200,200,66,22,-133,-200,0,200,-100,-200,200,-66,-200,0
284,284,48700,Williamsport, PA,-77.06,41.34,USA,1,85,-85,66,-66,100,-200,200,133,-66,18,-40,0,40,-100,111,0,-54,-28,90,-46,-50,0,80,-33,-85,100,40,-11,-46,0,-22,22,-22,-120,100,66,-66,-100,100,28,0,0,-66,-66,120,-28,-40,66,0,-28,-200,0,200,40,-40,66,-66,85,-22,-66,-66,66,0,40,-100,66,0,100,-40,-120,0,0,0,-200,200,-200,200,40,-40,-66,0,-200,200,80,-54,-28,-100,66,40,-200,200,66,-100,0,0,0,85,-22,-66,85,-200,200,40,-18,-50,0,28,0,40,-200,200,22,-85,-66,0,142,-100,-200
285,285,31700,Manchester-Nashua, NH,-71.72,42.92,USA,1,44,4,-4,22,-20,4,19,-6,-13,11,-3,5,-15,26,-11,1,11,-24,12,12,0,15,-8,-11,16,-26,19,4,-19,-8,-9,11,-34,16,6,-36,11,-20,-25,31,-12,18,2,-57,43,22,-40,20,-3,-10,-15,18,-18,0,-18,0,29,23,-15,-7,-29,43,-29,8,-17,32,3,-3,-18,22,-40,0,-5,23,-4,12,-3,11,-60,53,14,-3,-14,14,0,-10,-3,3,20,-32,32,11,-21,0,-3,-7,7,-11,7,13,20,-37,-12,44,-32,17,-48,64,-5,-12,-17,34,23,-44,3,25,11,-90
